"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT3G11630.1";0.62;0.37;-0.51;0.02;-0.37
"AT3G11930.1";0.54;0.3;-0.69;0.22;-0.18
"AT3G12145.1";-0.24;-0.72;0.05;0.11;0.47
"AT3G12203.1";-0.78;0.4;-0.09;0.31;-0.3
"AT3G12390.1";-0.06;-0.59;-0.57;0.49;-0.12
"AT3G12490.1";-0.68;-0.15;-0.13;-0.63;0.14
"AT3G12580.1";0.86;-0.22;0.23;-0.1;-0.22
"AT3G12780.1";0.81;0.22;0.29;0.3;-0.18
"AT3G12800.1";0.86;0.22;-0.3;0.12;0.13
"AT3G12960.1";0.9;-0.14;-0.21;-0.28;0.13
"AT3G13235.1";0.27;-0.67;-0.28;-0.14;-0.17
"AT3G13300.1";-0.91;-0.21;0.18;0.13;0.06
"AT3G13790.1";-0.78;0.01;0.44;-0.23;-0.17
"AT3G13920.1";0.33;0.7;-0.53;-0.06;-0.15
"AT3G13930.1";-0.62;-0.48;0.42;0.05;-0.26
"AT3G14067.1";-0.95;-0.09;0;0.01;0.16
"AT3G14310.1";0.5;-0.46;0.67;0.05;-0.1
"AT3G14360.1";-0.34;0.75;-0.37;-0.22;-0.01
"AT3G14990.1";0.88;0.05;-0.13;0.28;0.01
"AT3G15090.1";-0.31;-0.65;-0.41;0.22;-0.36
"AT3G15180.1";0.08;0.59;-0.57;-0.09;0.53
"AT3G15260.1";0.32;0.77;-0.03;0.13;0.13
"AT3G15280.1";0.56;0.47;0.53;0.14;0.25
"AT3G15670.1";-0.68;0.5;0.44;0.19;-0.04
"AT3G15730.1";-0.41;0.59;0.48;-0.05;-0.38
"AT3G16190.1";-0.49;0.35;-0.61;0.35;-0.13
"AT3G16640.1";0.47;0.62;-0.42;0.26;-0.25
"AT3G16895.1";0.9;0.01;0;-0.13;0.03
"AT3G16950.1";-0.57;0.23;0.11;0.29;-0.59
"AT3G16990.1";0.28;0.68;-0.62;-0.15;-0.12
"AT3G17020.1";0.1;0.75;-0.63;-0.06;0.04
"AT3G17240.1";-0.4;0.68;0.44;0.01;-0.11
